id,label,house
Reznak-mo-Reznak,Reznak mo Reznak,Misc
Rhaegar-Frey,Rhaegar Frey,Misc
Rhaegar-Targaryen,Rhaegar Targaryen,Targaryen
Rhaegel-Targaryen,Rhaegel Targaryen,Targaryen
Rhaego,Rhaego,Misc
Rhaella-Targaryen,Rhaella Targaryen,Targaryen
Rhaenys-Targaryen,Rhaenys Targaryen,Targaryen
Rhaenys-Targaryen-(daughter-of-Rhaegar),Rhaenys Targaryen (daughter of Rhaegar),Targaryen
Ricasso,Ricasso,Misc
Richard-Horpe,Richard Horpe,Misc
Rickard-Karstark,Rickard Karstark,Misc
Rickard-Stark,Rickard Stark,Stark
Rickon-Stark,Rickon Stark,Stark
Robar-Royce,Robar Royce,Misc
Robb-Stark,Robb Stark,Stark
Robert-Arryn,Robert Arryn,Arryn
Robert-Baratheon,Robert Baratheon,Baratheon
Robert-Strong,Robert Strong,Misc
Robett-Glover,Robett Glover,Misc
Robin-Flint,Robin Flint,Misc
Robin-Ryger,Robin Ryger,Misc
Rodrik-Cassel,Rodrik Cassel,Misc
Rodrik-Harlaw,Rodrik Harlaw,Misc
Rodrik-Sparr,Rodrik Sparr,Misc
Roger-Ryswell,Roger Ryswell,Misc
Rolfe-the-Dwarf,Rolfe the Dwarf,Misc
Rollam-Westerling,Rollam Westerling,Misc
Rolly-Duckfield,Rolly Duckfield,Misc
Rolph-Spicer,Rolph Spicer,Misc
Ronnet-Connington,Ronnet Connington,Misc
Roone,Roone,Misc
Roose-Bolton,Roose Bolton,Misc
Roose-Ryswell,Roose Ryswell,Misc
Rorge,Rorge,Misc
Rory,Rory,Misc
Rosey,Rosey,Misc
Roslin-Frey,Roslin Frey,Misc
Rossart,Rossart,Misc
Rowan,Rowan,Misc
Rugen,Rugen,Misc
Rus,Rus,Misc
Ryk,Ryk,Misc
Ryman-Frey,Ryman Frey,Misc
Salladhor-Saan,Salladhor Saan,Misc
Sallor,Sallor,Misc
Samwell-Tarly,Samwell Tarly,Misc
Sandor-Clegane,Sandor Clegane,Misc
Sansa-Stark,Sansa Stark,Stark
Sarella-Sand,Sarella Sand,Misc
Satin,Satin,Misc
Sawane-Botley,Sawane Botley,Misc
Scar,Scar,Misc
Scolera,Scolera,Misc
Selwyn-Tarth,Selwyn Tarth,Misc
Selyse-Florent,Selyse Florent,Misc
Senelle,Senelle,Misc
Shadd,Shadd,Misc
Shadrich,Shadrich,Misc
Shae,Shae,Misc
Shagga,Shagga,Misc
Shagwell,Shagwell,Misc
Sharna,Sharna,Misc
Shireen-Baratheon,Shireen Baratheon,Baratheon
Shitmouth,Shitmouth,Misc
Shortear,Shortear,Misc
